,initial_pos,no_of_pits,tyre_grid,tyre_1,tyre_2,tyre_grid_distance,tyre_1_distance,tyre_2_distance,sc,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
76,13.0,2.0,3.0,3.0,2.0,9.0,30.0,18.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,417.0,95.0,5.0
77,14.0,2.0,3.0,2.0,2.0,8.0,25.0,24.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,73.0,52.0,4.0
78,1.0,2.0,3.0,2.0,2.0,13.0,23.0,21.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,504.0,264.0,-2.0
79,18.0,2.0,3.0,2.0,2.0,1.0,22.0,34.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,73.0,21.0,4.0
80,6.0,2.0,3.0,2.0,3.0,10.0,28.0,19.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,0.0,20.0,-7.0
81,12.0,2.0,3.0,3.0,2.0,9.0,16.0,32.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,85.0,92.0,3.0
82,15.0,2.0,3.0,2.0,3.0,12.0,26.0,19.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,85.0,37.0,3.0
83,17.0,2.0,3.0,3.0,2.0,12.0,20.0,25.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,91.0,37.0,0.0
85,3.0,2.0,3.0,3.0,2.0,13.0,21.0,23.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,739.0,413.0,2.0
86,7.0,3.0,3.0,2.0,1.0,4.0,20.0,0.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,145.0,96.0,-12.0
87,19.0,2.0,3.0,2.0,2.0,12.0,14.0,31.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,1.0,0.0,4.0
89,20.0,2.0,2.0,3.0,2.0,11.0,16.0,30.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,1.0,1.0,4.0
90,16.0,2.0,3.0,2.0,3.0,16.0,24.0,17.0,0.0,78.22,0.59,16.9,15.0,57.0,5.412,57.0,14.0,5.0
