,initial_pos,sc_lap,sc_decision,sc_laps_travelled,sc_laps_remaining,sc_tyre_compound,before_pit_pos,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
99,2.0,2.0,0.0,11.0,51.0,2.0,2.0,70.92,0.5,11.3,18.0,52.0,5.891,573.0,223.0,-9.0
100,15.0,2.0,0.0,10.0,51.0,2.0,13.0,70.92,0.5,11.3,18.0,52.0,5.891,8.0,4.0,1.0
101,8.0,12.0,1.0,12.0,41.0,3.0,5.0,70.92,0.5,11.3,18.0,52.0,5.891,181.0,119.0,4.0
102,5.0,12.0,1.0,12.0,41.0,3.0,7.0,70.92,0.5,11.3,18.0,52.0,5.891,202.0,97.0,0.0
103,10.0,12.0,1.0,12.0,41.0,3.0,10.0,70.92,0.5,11.3,18.0,52.0,5.891,131.0,33.0,0.0
104,18.0,12.0,1.0,12.0,41.0,2.0,16.0,70.92,0.5,11.3,18.0,52.0,5.891,0.0,0.0,3.0
105,16.0,12.0,1.0,12.0,41.0,2.0,13.0,70.92,0.5,11.3,18.0,52.0,5.891,8.0,4.0,-1.0
106,17.0,12.0,0.0,24.0,41.0,2.0,14.0,70.92,0.5,11.3,18.0,52.0,5.891,3.0,2.0,1.0
107,11.0,12.0,1.0,12.0,41.0,2.0,11.0,70.92,0.5,11.3,18.0,52.0,5.891,107.0,75.0,4.0
108,4.0,12.0,1.0,1.0,41.0,2.0,4.0,70.92,0.5,11.3,18.0,52.0,5.891,131.0,98.0,1.0
109,6.0,12.0,1.0,1.0,41.0,2.0,8.0,70.92,0.5,11.3,18.0,52.0,5.891,195.0,75.0,-3.0
110,12.0,12.0,0.0,6.0,41.0,1.0,17.0,70.92,0.5,11.3,18.0,52.0,5.891,319.0,105.0,4.0
111,9.0,12.0,1.0,12.0,41.0,3.0,9.0,70.92,0.5,11.3,18.0,52.0,5.891,181.0,0.0,3.0
112,3.0,12.0,1.0,1.0,41.0,2.0,3.0,70.92,0.5,11.3,18.0,52.0,5.891,319.0,214.0,1.0
113,1.0,12.0,1.0,1.0,41.0,2.0,1.0,70.92,0.5,11.3,18.0,52.0,5.891,573.0,347.0,0.0
114,7.0,12.0,1.0,1.0,41.0,3.0,6.0,70.92,0.5,11.3,18.0,52.0,5.891,202.0,105.0,-6.0
115,20.0,12.0,1.0,12.0,41.0,2.0,15.0,70.92,0.5,11.3,18.0,52.0,5.891,0.0,3.0,8.0
116,2.0,12.0,1.0,1.0,41.0,2.0,2.0,70.92,0.5,11.3,18.0,52.0,5.891,573.0,223.0,-9.0
117,15.0,12.0,1.0,12.0,41.0,2.0,12.0,70.92,0.5,11.3,18.0,52.0,5.891,8.0,4.0,1.0
118,6.0,16.0,1.0,16.0,45.0,4.0,4.0,49.6,0.59,56.7,15.0,60.0,5.148,181.0,119.0,3.0
119,11.0,16.0,0.0,5.0,45.0,2.0,16.0,49.6,0.59,56.7,15.0,60.0,5.148,131.0,33.0,0.0
120,18.0,16.0,0.0,2.0,45.0,3.0,19.0,49.6,0.59,56.7,15.0,60.0,5.148,0.0,0.0,4.0
121,19.0,16.0,0.0,6.0,45.0,3.0,17.0,49.6,0.59,56.7,15.0,60.0,5.148,8.0,4.0,7.0
122,16.0,16.0,0.0,12.0,45.0,3.0,14.0,49.6,0.59,56.7,15.0,60.0,5.148,3.0,2.0,7.0
123,12.0,16.0,0.0,14.0,45.0,3.0,9.0,49.6,0.59,56.7,15.0,60.0,5.148,107.0,75.0,6.0
124,9.0,16.0,0.0,12.0,45.0,4.0,6.0,49.6,0.59,56.7,15.0,60.0,5.148,195.0,125.0,5.0
125,4.0,16.0,0.0,6.0,45.0,3.0,12.0,49.6,0.59,56.7,15.0,60.0,5.148,131.0,98.0,-3.0
126,15.0,16.0,0.0,2.0,45.0,3.0,18.0,49.6,0.59,56.7,15.0,60.0,5.148,3.0,1.0,2.0
127,13.0,16.0,1.0,1.0,45.0,3.0,13.0,49.6,0.59,56.7,15.0,60.0,5.148,107.0,32.0,-2.0
128,20.0,16.0,0.0,13.0,45.0,4.0,11.0,49.6,0.59,56.7,15.0,60.0,5.148,195.0,10.0,12.0
129,3.0,16.0,1.0,16.0,45.0,4.0,2.0,49.6,0.59,56.7,15.0,60.0,5.148,319.0,214.0,1.0
130,2.0,16.0,1.0,16.0,45.0,4.0,1.0,49.6,0.59,56.7,15.0,60.0,5.148,573.0,347.0,1.0
131,10.0,16.0,0.0,12.0,45.0,4.0,8.0,49.6,0.59,56.7,15.0,60.0,5.148,202.0,105.0,5.0
132,14.0,16.0,0.0,1.0,45.0,3.0,15.0,49.6,0.59,56.7,15.0,60.0,5.148,8.0,4.0,4.0
133,6.0,45.0,0.0,1.0,16.0,4.0,4.0,49.6,0.59,56.7,15.0,60.0,5.148,181.0,119.0,3.0
134,11.0,45.0,0.0,4.0,16.0,4.0,13.0,49.6,0.59,56.7,15.0,60.0,5.148,131.0,33.0,0.0
135,18.0,45.0,0.0,12.0,16.0,3.0,12.0,49.6,0.59,56.7,15.0,60.0,5.148,0.0,0.0,4.0
136,19.0,45.0,0.0,1.0,16.0,4.0,14.0,49.6,0.59,56.7,15.0,60.0,5.148,8.0,4.0,7.0
137,16.0,45.0,0.0,17.0,16.0,2.0,7.0,49.6,0.59,56.7,15.0,60.0,5.148,3.0,2.0,7.0
138,12.0,45.0,0.0,1.0,16.0,4.0,8.0,49.6,0.59,56.7,15.0,60.0,5.148,107.0,75.0,6.0
139,9.0,45.0,1.0,17.0,16.0,3.0,3.0,49.6,0.59,56.7,15.0,60.0,5.148,195.0,125.0,5.0
140,4.0,45.0,0.0,10.0,16.0,3.0,6.0,49.6,0.59,56.7,15.0,60.0,5.148,131.0,98.0,-3.0
141,15.0,45.0,0.0,11.0,16.0,3.0,11.0,49.6,0.59,56.7,15.0,60.0,5.148,3.0,1.0,2.0
142,13.0,45.0,0.0,1.0,16.0,4.0,15.0,49.6,0.59,56.7,15.0,60.0,5.148,107.0,32.0,-2.0
143,20.0,45.0,0.0,1.0,16.0,4.0,9.0,49.6,0.59,56.7,15.0,60.0,5.148,195.0,10.0,12.0
144,3.0,45.0,1.0,29.0,16.0,3.0,2.0,49.6,0.59,56.7,15.0,60.0,5.148,319.0,214.0,1.0
145,2.0,45.0,1.0,29.0,16.0,3.0,1.0,49.6,0.59,56.7,15.0,60.0,5.148,573.0,347.0,1.0
146,10.0,45.0,0.0,1.0,16.0,4.0,5.0,49.6,0.59,56.7,15.0,60.0,5.148,202.0,105.0,5.0
147,14.0,45.0,0.0,9.0,16.0,3.0,10.0,49.6,0.59,56.7,15.0,60.0,5.148,8.0,4.0,4.0
148,5.0,30.0,0.0,16.0,34.0,2.0,8.0,64.81,0.73,32.0,15.0,63.0,4.909,181.0,119.0,2.0
149,9.0,30.0,0.0,17.0,34.0,3.0,13.0,64.81,0.73,32.0,15.0,63.0,4.909,202.0,97.0,1.0
150,14.0,30.0,0.0,9.0,34.0,3.0,4.0,64.81,0.73,32.0,15.0,63.0,4.909,131.0,33.0,2.0
151,19.0,30.0,0.0,4.0,34.0,3.0,6.0,64.81,0.73,32.0,15.0,63.0,4.909,0.0,0.0,8.0
152,18.0,30.0,0.0,18.0,34.0,3.0,5.0,64.81,0.73,32.0,15.0,63.0,4.909,8.0,4.0,9.0
153,16.0,30.0,0.0,21.0,34.0,2.0,16.0,64.81,0.73,32.0,15.0,63.0,4.909,3.0,2.0,2.0
154,11.0,30.0,0.0,3.0,34.0,2.0,7.0,64.81,0.73,32.0,15.0,63.0,4.909,195.0,125.0,5.0
155,7.0,30.0,0.0,17.0,34.0,2.0,9.0,64.81,0.73,32.0,15.0,63.0,4.909,131.0,98.0,2.0
156,6.0,30.0,0.0,16.0,34.0,2.0,10.0,64.81,0.73,32.0,15.0,63.0,4.909,319.0,105.0,-9.0
157,8.0,30.0,0.0,16.0,34.0,2.0,11.0,64.81,0.73,32.0,15.0,63.0,4.909,107.0,32.0,4.0
158,2.0,30.0,1.0,30.0,34.0,3.0,1.0,64.81,0.73,32.0,15.0,63.0,4.909,573.0,347.0,1.0
159,10.0,30.0,0.0,13.0,34.0,3.0,12.0,64.81,0.73,32.0,15.0,63.0,4.909,202.0,105.0,3.0
160,1.0,30.0,0.0,11.0,34.0,2.0,2.0,64.81,0.73,32.0,15.0,63.0,4.909,573.0,223.0,-1.0
161,20.0,30.0,0.0,20.0,34.0,3.0,15.0,64.81,0.73,32.0,15.0,63.0,4.909,8.0,4.0,10.0
162,5.0,51.0,0.0,37.0,13.0,2.0,4.0,64.81,0.73,32.0,15.0,63.0,4.909,181.0,119.0,2.0
163,9.0,51.0,1.0,38.0,13.0,3.0,7.0,64.81,0.73,32.0,15.0,63.0,4.909,202.0,97.0,1.0
164,14.0,51.0,1.0,12.0,13.0,2.0,14.0,64.81,0.73,32.0,15.0,63.0,4.909,131.0,33.0,2.0
165,19.0,51.0,0.0,17.0,13.0,2.0,13.0,64.81,0.73,32.0,15.0,63.0,4.909,0.0,0.0,8.0
166,18.0,51.0,0.0,3.0,13.0,4.0,11.0,64.81,0.73,32.0,15.0,63.0,4.909,8.0,4.0,9.0
167,16.0,51.0,0.0,1.0,13.0,4.0,16.0,64.81,0.73,32.0,15.0,63.0,4.909,3.0,2.0,2.0
168,11.0,51.0,1.0,24.0,13.0,2.0,3.0,64.81,0.73,32.0,15.0,63.0,4.909,195.0,125.0,5.0
169,7.0,51.0,0.0,38.0,13.0,2.0,5.0,64.81,0.73,32.0,15.0,63.0,4.909,131.0,98.0,2.0
